unit,run_id,id,trial_id,source,pass,retry_of,effective,model_requested,model_returned,provider,fault,rep,control_type,branch,variant,condition,state,state_reason,runtime_state,state_mismatch,retry,rechecked,recovered,any_tool,category,looks_stale,script_run,token_in_result,token_in_text,script_commands,tool_calls,tool_log_mismatch,flag_dotdot,flag_stash,hit_step_cap,finish_reason,steps,input_tokens,output_tokens,reasoning_tokens,billed_output_tokens,cost_usd,priced,turn_wall_ms,trial_wall_ms
turn1,m2-dryrun-20260925,t0001,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,,,,VALID,,VALID,0,,,,,,,,,,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2424,58,110,168,0.0011472,1,5710,66877
turn1,m2-dryrun-20260925,t0002,t0002,research/pilot/runs/m2-dryrun-20260925/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,,,,INVALID_MODIFIED,,INVALID_MODIFIED,0,,,,,,,,,,bash scripts/run_tests.sh || chmod +x scripts/run_tests.sh || bash scripts/run_tests.sh,11,0,1,0,0,stop,11,27586,315,1192,1507,0.0120433,1,36823,38241
turn1,m2-dryrun-20260925,t0003,t0003,research/pilot/runs/m2-dryrun-20260925/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F07,1,,,,,VALID,,VALID,0,,,,,,,,,,scripts/run_tests.sh,1,0,0,0,0,stop,2,2407,61,164,225,0.0012845999999999999,1,7084,82696
branch,m2-dryrun-20260925,t0001/V1_C1,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C1,V1,C1,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,scripts/run_tests.sh,1,0,0,0,0,stop,2,2595,56,192,248,0.0013985,1,7486,
branch,m2-dryrun-20260925,t0001/V1_C2,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C2,V1,C2,RAN,,,,0,0,0,0,NO_TOOL,1,0,0,0,,0,0,0,0,0,stop,1,1551,36,59,95,0.0007028,1,3045,
branch,m2-dryrun-20260925,t0001/V1_C3,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C3,V1,C3,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2542,58,64,122,0.0010676,1,5683,
branch,m2-dryrun-20260925,t0001/V1_C4,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C4,V1,C4,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2586,56,117,173,0.0012083,1,6692,
branch,m2-dryrun-20260925,t0001/V1_C5,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C5,V1,C5,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh,1,0,0,0,0,stop,2,2691,58,103,161,0.0012098,1,6214,
branch,m2-dryrun-20260925,t0001/V2_C1,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C1,V2,C1,RAN,,,,1,1,1,1,RECOVERED,,1,1,1,bash scripts/run_tests.sh --verbose,1,0,0,0,0,stop,2,2598,59,162,221,0.0013319,1,6975,
branch,m2-dryrun-20260925,t0001/V2_C2,t0001,research/pilot/runs/m2-dryrun-20260925/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V2_C2,V2,C2,RAN,,,,0,0,0,0,NO_TOOL,1,0,0,0,,0,0,0,0,0,stop,1,1581,55,47,102,0.0007293,1,3220,
